date,index_code,open,high,low,close,volume,amt
2024-01-02,000300.SH,3426.2684,3426.2684,3386.3522,3386.3522,11618072600.0,184096097449.0
2024-01-02,000905.SH,5431.4784,5439.4778,5409.4554,5409.4554,9296474700.0,106839922689.0
2024-01-03,000300.SH,3379.7501,3392.8504,3362.6617,3378.2971,10561385100.0,165099018643.0
2024-01-03,000905.SH,5398.2939,5428.5204,5373.8317,5401.395,8670522900.0,99883598918.0
2024-01-04,000300.SH,3375.0207,3375.0207,3323.8647,3347.0519,10672101300.0,165512262699.0
2024-01-04,000905.SH,5395.1428,5395.1428,5331.892,5355.3216,7884656800.0,91011406056.0
2024-01-05,000300.SH,3341.3061,3372.5444,3313.5542,3329.1114,12640057400.0,182251664948.0
2024-01-05,000905.SH,5347.0727,5373.6788,5260.5939,5281.8711,8953888400.0,101084569597.0
2024-01-08,000300.SH,3322.6051,3333.516,3283.3421,3286.0564,11742948500.0,170761644873.0
2024-01-08,000905.SH,5268.2339,5268.9787,5167.6997,5167.6997,8378515500.0,92792791380.0
2024-01-09,000300.SH,3286.7083,3304.6008,3273.8431,3292.4994,10933046500.0,172276323045.0
2024-01-09,000905.SH,5176.1129,5220.4578,5152.9987,5180.653,7874041800.0,90959823752.0
2024-01-10,000300.SH,3281.6692,3312.9161,3268.2471,3277.129,9419936600.0,159777649838.0
2024-01-10,000905.SH,5167.7319,5211.8158,5118.4332,5158.0784,7117394600.0,84227807644.0
2024-01-11,000300.SH,3275.3086,3311.1137,3266.7911,3295.6717,10878973500.0,180978533600.0
2024-01-11,000905.SH,5152.359,5243.1387,5146.8978,5223.8633,8504129500.0,106151947200.0
2024-01-12,000300.SH,3284.358,3310.4704,3279.6987,3284.1667,9685355500.0,156536022300.0
2024-01-12,000905.SH,5213.1356,5262.6165,5206.1607,5206.178,7661983100.0,93271394900.0
2024-01-15,000300.SH,3270.1029,3306.9217,3261.2687,3280.9195,8885153000.0,144331722400.0
2024-01-15,000905.SH,5189.5279,5238.9581,5171.2399,5193.2956,7392509700.0,88027788800.0
2024-01-16,000300.SH,3272.571,3300.8762,3260.4362,3300.8762,11327666500.0,175650587500.0
2024-01-16,000905.SH,5188.3692,5210.0834,5124.0823,5190.3975,8307037100.0,92337607300.0
2024-01-17,000300.SH,3291.1392,3291.1392,3229.082,3229.082,10876972800.0,173516385200.0
2024-01-17,000905.SH,5180.9251,5180.9251,5061.5395,5061.5395,7874184900.0,87930639300.0
2024-01-18,000300.SH,3214.2844,3279.2538,3171.6329,3274.7286,17490916800.0,256784536800.0
2024-01-18,000905.SH,5033.1032,5069.2295,4924.6815,5066.9579,11875105500.0,123436419700.0
2024-01-19,000300.SH,3261.2393,3286.9415,3251.8136,3269.7763,11850140800.0,191261807100.0
2024-01-19,000905.SH,5056.4765,5084.2902,5014.7667,5018.4332,7846738300.0,92039421300.0
2024-01-22,000300.SH,3262.4685,3281.4205,3193.1776,3218.9016,14870562800.0,225510031800.0
2024-01-22,000905.SH,5008.6804,5008.7672,4753.6302,4780.9748,10970849200.0,115622857100.0
2024-01-23,000300.SH,3208.4316,3249.5306,3188.1259,3231.9329,12201200000.0,193791168600.0
2024-01-23,000905.SH,4771.4963,4889.4223,4727.8806,4865.743,9994471800.0,107808853100.0
2024-01-24,000300.SH,3245.9592,3281.4892,3190.4674,3277.1089,15437195400.0,219036341600.0
2024-01-24,000905.SH,4886.2037,4941.4403,4766.8035,4933.7009,11402580500.0,112683270500.0
2024-01-25,000300.SH,3274.3391,3344.2426,3269.7943,3342.9189,19683361400.0,265521115000.0
2024-01-25,000905.SH,4931.6273,5074.4943,4910.9591,5073.1779,13230776600.0,134822852000.0
2024-01-26,000300.SH,3326.6465,3351.9692,3315.1265,3333.8213,18066400500.0,238144899500.0
2024-01-26,000905.SH,5055.2878,5086.129,5009.9729,5027.0932,11700983600.0,119232919000.0
2024-01-29,000300.SH,3335.3936,3351.3715,3303.9604,3303.9604,18416479500.0,244698013600.0
2024-01-29,000905.SH,5032.1113,5050.1092,4927.9137,4927.9137,11687665700.0,117835011100.0
2024-01-30,000300.SH,3283.8977,3300.204,3244.9719,3245.0387,14364935000.0,199592929912.0
2024-01-30,000905.SH,4898.3613,4939.3511,4810.099,4814.9908,9967581100.0,95474113526.0
2024-01-31,000300.SH,3231.5425,3252.1475,3201.9264,3215.3518,15314346900.0,215333349921.0
2024-01-31,000905.SH,4786.8128,4832.401,4690.9429,4696.9796,12109315800.0,116592536773.0
2024-02-01,000300.SH,3202.2564,3251.7582,3191.8968,3217.7109,14551679200.0,203815063233.0
2024-02-01,000905.SH,4667.9126,4771.0465,4629.9901,4678.7308,11147191000.0,107508825588.0
2024-02-02,000300.SH,3219.8734,3235.4079,3108.3515,3179.6276,17375808900.0,234495151557.0
2024-02-02,000905.SH,4686.0999,4724.0488,4435.5569,4563.2221,13750183200.0,124953077789.0
2024-02-05,000300.SH,3164.25,3233.8485,3111.5184,3200.4218,20304297000.0,279713141507.0
