stock_code,ROE_AVG,ROA2,CATOASSETS,ASSETSTOEQUITY,CURRENT,report_date
000565.SZ,0.8997,0.7597,34.1866,1.2242,2.9445,2024-03-31
000566.SZ,-0.7711,0.1582,34.9547,3.4355,0.6852,2024-03-31
000567.SZ,4.18,3.2106,39.9457,1.6766,2.5573,2024-03-31
000568.SZ,10.4402,9.1732,74.3066,1.4799,5.0605,2024-03-31
000570.SZ,0.9448,0.7036,57.2821,1.5048,1.9303,2024-03-31
000571.SZ,-4.6481,0.038,28.2364,2.5168,0.6239,2024-03-31
000572.SZ,-4.6335,-1.5577,56.2918,2.647,0.9391,2024-03-31
000573.SZ,-1.0929,-0.7793,58.2565,1.3733,3.0219,2024-03-31
000576.SZ,0.8552,0.927,47.7731,1.1285,7.1481,2024-03-31
000581.SZ,2.7927,2.1077,48.8136,1.3604,2.0432,2024-03-31
000582.SZ,2.8343,1.6685,11.5771,2.0689,0.6079,2024-03-31
000584.SZ,0.2526,0.2327,64.6168,7.0396,0.8575,2024-03-31
000586.SZ,-0.6019,-0.2936,84.4909,1.622,2.296,2024-03-31
000589.SZ,2.8283,1.3423,47.1817,2.3392,0.992,2024-03-31
000590.SZ,-1.1513,-0.5646,47.6526,1.6153,2.0803,2024-03-31
000591.SZ,1.5152,1.1954,32.9244,2.0138,2.2475,2024-03-31
000592.SZ,-0.039,-0.0741,77.7275,1.7425,1.8711,2024-03-31
000593.SZ,1.645,1.2732,28.3475,2.1161,0.7547,2024-03-31
000595.SZ,-3.4867,-1.2524,49.38,2.0083,1.4884,2024-03-31
000596.SZ,9.1612,7.2608,74.2908,1.6518,1.9572,2024-03-31
000597.SZ,1.1472,0.7037,65.726,2.983,1.0345,2024-03-31
000598.SZ,2.7067,1.3899,20.7544,2.5018,1.0754,2024-03-31
000599.SZ,-1.0172,0.0647,37.1796,4.5567,0.6224,2024-03-31
000600.SZ,2.5024,1.399,19.0185,3.144,0.7271,2024-03-31
000601.SZ,0.5609,0.8618,27.5308,2.877,1.0943,2024-03-31
000603.SZ,-0.2823,-0.1121,28.1567,1.679,0.9886,2024-03-31
000605.SZ,0.8334,0.8058,28.9554,2.9208,0.755,2024-03-31
000607.SZ,-0.6342,-0.0878,36.2166,1.914,0.933,2024-03-31
000608.SZ,-0.6222,0.1563,2.4891,1.4866,0.165,2024-03-31
000609.SZ,-8.9744,-0.5811,93.2984,6.3304,1.2539,2024-03-31
000610.SZ,-6.2484,-1.1259,34.7025,5.1124,0.7454,2024-03-31
000612.SZ,2.3963,2.0619,32.7463,1.3566,1.367,2024-03-31
000615.SZ,-14.1919,-0.1626,16.3555,6.8908,0.5179,2024-03-31
000617.SZ,1.7129,0.4135,62.4056,5.41,0.7912,2024-03-31
000619.SZ,-0.6326,-0.0831,58.17,1.7354,1.6647,2024-03-31
000620.SZ,0.3843,0.425,65.6765,2.3526,1.4454,2024-03-31
000622.SZ,-2.7235,-1.1277,55.5302,2.1053,1.5007,2024-03-31
000623.SZ,0.5155,0.4184,17.0524,1.1306,1.599,2024-03-31
000625.SZ,1.5965,0.2993,68.7513,2.5151,1.2855,2024-03-31
000626.SZ,-0.1846,0.4605,79.8417,3.2517,1.3141,2024-03-31
000627.SZ,-0.437,,,8.4159,,2024-03-31
000628.SZ,1.6273,0.5547,83.9355,5.6471,1.2736,2024-03-31
000629.SZ,0.56,0.6483,42.0639,1.2103,3.1768,2024-03-31
000630.SZ,3.3847,2.419,54.4839,2.0149,1.6522,2024-03-31
000631.SZ,0.2431,0.2248,87.997,1.174,5.9376,2024-03-31
000632.SZ,0.338,1.0407,60.3296,4.485,1.0818,2024-03-31
000633.SZ,0.7428,0.9034,58.6947,1.2967,5.8361,2024-03-31
000635.SZ,-4.457,-2.5228,18.7448,1.8332,0.5318,2024-03-31
000636.SZ,0.6099,0.3651,45.3411,1.2826,2.6717,2024-03-31
000637.SZ,-6.2068,-1.1719,25.9554,2.9311,0.4978,2024-03-31
000638.SZ,-2.1159,-0.5508,35.0786,2.1694,0.7282,2024-03-31
000639.SZ,1.5114,1.1504,42.5939,1.7731,1.1929,2024-03-31
000650.SZ,2.9249,3.3753,62.7955,1.1349,5.5156,2024-03-31
000651.SZ,3.9234,1.1996,61.7778,3.0376,1.1254,2024-03-31
